,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
41566,41567,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written Tutorials;Stack Overflow;Interactive tutorial,Coursera,11,6,Data scientist or machine learning specialist,"10,000 or more employees",I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,2800000.0,HTML/CSS;Java;JavaScript;Python;SQL,MATLAB;Rust;Solidity,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL,Neo4J,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,,FastAPI;Flask;Node.js;React,,Apache Spark;Hadoop;Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,JAX,Docker;GNU GCC;Gradle;Pip;Unity 3D,,Android Studio;Jupyter Notebook/JupyterLab;Visual Studio Code,,Ubuntu;Windows,,Azure Devops;Markdown File;Notion,,Microsoft Teams;Whatsapp,,ChatGPT,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",,"No, but I plan to soon",Very favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,6.0,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,1-2 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,33927.0
41601,41602,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,,,12,8,"Developer, back-end","10,000 or more employees",I have little or no influence,,Start a free trial,India,INR	Indian rupee,3500000.0,Elixir;Go;Python;SQL,Rust,MySQL;PostgreSQL,MongoDB,Amazon Web Services (AWS);Digital Ocean;Google Cloud,,Django;Phoenix,,NumPy,React Native,Make;Webpack,Yarn,Goland;Neovim;Vim;Visual Studio Code,Xcode,iOS;Ubuntu,Windows,Jira,,Google Chat;Microsoft Teams;Slack,,ChatGPT,,GitHub Copilot,,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",edits,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,8.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Never,1-2 times a week,3-5 times a week,Over 120 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,42409.0
41738,41739,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Friend or family member;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,,21,18,Data scientist or machine learning specialist,20 to 99 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,India,INR	Indian rupee,10000000.0,Prolog;Python,Cobol;Go;Prolog;Python;Rust;Zig,PostgreSQL,Cassandra;Cockroachdb;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,React,,CUDA;Hugging Face Transformers;Scikit-Learn;Tauri;Torch/PyTorch,CUDA;Hugging Face Transformers;Scikit-Learn;Tauri;Torch/PyTorch,Docker;GNU GCC;Pip,Docker;GNU GCC;Pip,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,Ubuntu,Debian;Ubuntu,Jira;Notion,Notion,Google Meet;Whatsapp;Zoom,Google Meet;Whatsapp;Zoom,,,GitHub Copilot,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",Better recommendation where the code does show exactly what I am looking for,"No, but I plan to soon",Very favorable,,Neither trust nor distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,121169.0
42130,42131,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Professional development or self-paced learning from online courses;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow;Interactive tutorial,Udemy;Coursera,6,3,"Developer, full-stack","10,000 or more employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,2000000.0,C;HTML/CSS;MATLAB;Python;SQL,HTML/CSS;JavaScript;PowerShell;Python;SQL,InfluxDB;MongoDB;MySQL;PostgreSQL;SQLite,Cosmos DB;MySQL;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Google Cloud;Microsoft Azure,FastAPI;Flask,Flask,NumPy;Pandas;Qt;Scikit-Learn;Torch/PyTorch,Apache Kafka;Apache Spark;NumPy;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Docker;Pip,Docker;Pip,IPython;Jupyter Notebook/JupyterLab;Qt Creator;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,Ubuntu;Windows,Windows,Jira;Trello,Jira,Cisco Webex Teams;Google Meet;Microsoft Teams;Skype;Zoom,Microsoft Teams;Slack,ChatGPT;WolframAlpha,Bing AI;ChatGPT;Google Bard AI;WolframAlpha,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,,"No, and I don't plan to",,,,,,,,,,,,Yes,People manager,12.0,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,Less than 15 minutes a day,DevOps function;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too short,Easy,24234.0
42291,42292,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos",Udemy;Coursera,4,Less than 1 year,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,India,INR	Indian rupee,2500000.0,C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Go;Python,Couchbase;MongoDB;PostgreSQL,Couchbase;MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;Next.js;Node.js;Spring Boot;Vue.js,Next.js;Node.js;Vue.js,Hadoop;NumPy;Opencv;TensorFlow;Torch/PyTorch,NumPy;Opencv;TensorFlow;Torch/PyTorch,Docker;Homebrew;Kubernetes;Terraform,Docker;Homebrew;Kubernetes;Terraform,Android Studio;Code::Blocks;Eclipse;IntelliJ IDEA;Netbeans;Notepad++;PyCharm;Visual Studio Code,Android Studio;IntelliJ IDEA;PyCharm;Visual Studio Code,Android;Debian;MacOS;Ubuntu;Windows,Android;Debian;MacOS;Ubuntu,Jira,Jira,Google Meet;Microsoft Teams;Skype;Slack;Telegram;Whatsapp;Zoom,Google Meet;Slack;Zoom,ChatGPT,ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",It would be better. The AI could help optimize searches. AI could also solve simple queries and doubts on coding.,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration,Somewhat trust,,Learning about a codebase;Writing code;Documenting code;Testing code,,,,,Learning about a codebase;Writing code;Documenting code;Testing code,,Yes,Individual contributor,0.0,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,10+ times a week,10+ times a week,10+ times a week,Over 120 minutes a day,Over 120 minutes a day,DevOps function;Microservices;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,30292.0
43414,43415,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Hackathons (virtual or in-person);Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow",,8,2,"Developer, back-end","10,000 or more employees",I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,India,INR	Indian rupee,2500000.0,C#;C++;Java;Python;Scala;SQL;TypeScript,Go;JavaScript;Kotlin;Ruby,Dynamodb;H2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Cassandra;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Elasticsearch;MongoDB,Amazon Web Services (AWS);Microsoft Azure,Google Cloud,ASP.NET;ASP.NET CORE;Spring Boot,,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Apache Spark;Pandas;Spring Framework,Flutter;Hadoop;TensorFlow,Ant;Dagger;GNU GCC;Gradle;Maven (build tool);npm;Pip,Kubernetes;Terraform;Yarn,Code::Blocks;DataGrip;Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Netbeans;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,Android Studio;Sublime Text,Android;Windows,MacOS,Azure Devops;Jira,Asana;Confluence,Cisco Webex Teams;Google Chat;Google Meet;Microsoft Teams;Skype;Slack;Whatsapp,,ChatGPT,,,,Stack Overflow;Stack Exchange,Multiple times per day,Not sure/can't remember,,"Yes, somewhat",,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code,,,,,,Writing code,Yes,Individual contributor,2.0,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,Over 120 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,30292.0
44050,44051,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow,Other;Udemy,13,6,Cloud infrastructure engineer,"1,000 to 4,999 employees",I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,5500000.0,Go;Python,Go;Haskell;Java;Python,BigQuery;MariaDB;Redis,BigQuery;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;OpenStack,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;OpenStack;VMware,,,Apache Kafka,Apache Kafka;Apache Spark;Hadoop;RabbitMQ,Ansible;APT;Docker;Kubernetes;Maven (build tool);Pip,Ansible;APT;Docker;Kubernetes;Maven (build tool);Pip,,,MacOS,Debian;MacOS,Clickup;Notion;Trello,Trello,Google Meet,Google Meet;Slack,ChatGPT,,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,9.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,Less than 15 minutes a day,15-30 minutes a day,DevOps function;Microservices;Observability tools;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery,Advertising Services,Appropriate in length,Easy,66643.0
44172,44173,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Certification videos,Udemy,11,8,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,,Start a free trial;Visit developer communities like Stack Overflow,India,INR	Indian rupee,1800000.0,JavaScript;Python;TypeScript,Go;JavaScript;Python;Rust;TypeScript,Dynamodb;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Heroku;Netlify,Amazon Web Services (AWS);Netlify;Vercel,Django;FastAPI;React,Django;FastAPI;Next.js;React,,,APT;Docker;Homebrew;npm;Pip,APT;Cargo;Docker;Homebrew;Kubernetes;npm;Pip,PyCharm;Visual Studio Code,Visual Studio Code,Android;iOS;iPadOS;MacOS,MacOS;Windows,Confluence;Jira;Notion,Notion,Cisco Webex Teams;Discord;Google Chat;Google Meet;Whatsapp;Zoom,Cisco Webex Teams;Discord;Whatsapp;Zoom,Bing AI;ChatGPT,ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",Stack overflow could give answers when I ask a question so I don't have to ask those,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Learning about a codebase;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring,Writing code;Debugging and getting help,Project planning;Collaborating with teammates ,,,,,Writing code;Debugging and getting help,Yes,Individual contributor,8.0,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,1-2 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Healthcare,Appropriate in length,Easy,21810.0
44424,44425,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos,,10,7,Cloud infrastructure engineer,"5,000 to 9,999 employees",I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,2800000.0,PowerShell;Python,Go;PowerShell;Python,,,Amazon Web Services (AWS);Google Cloud;IBM Cloud Or Watson;Microsoft Azure;VMware,Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure,FastAPI,FastAPI,,,Ansible;NuGet;Pip;Terraform,Ansible;Docker;Kubernetes;NuGet;Pip;Terraform,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Android;iOS;iPadOS,Red Hat;Windows,Jira;Microsoft Lists,Azure Devops;Jira,Microsoft Teams;Whatsapp;Zoom,Discord;Microsoft Teams;Signal,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",,Yes,Favorable,Other (please explain),Highly distrust,Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Writing code;Debugging and getting help,Project planning,,Debugging and getting help,,,Learning about a codebase;Writing code,Yes,Individual contributor,7.0,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,Less than 15 minutes a day,30-60 minutes a day,Developer portal or other central places to find tools/services,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,33927.0
45440,45441,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Stack Overflow,,20,15,"Developer, back-end",100 to 499 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow,India,INR	Indian rupee,4200000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;SQL,Kotlin;Python;SQL,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,"Amazon Web Services (AWS);Google Cloud;Linode, now Akamai",FastAPI;Flask,FastAPI;Flask;Svelte,NumPy;Pandas,Pandas;TensorFlow,Docker;Pip,Docker;Pip,DataGrip;IntelliJ IDEA;PyCharm;Sublime Text,Android Studio;IntelliJ IDEA;PyCharm;Sublime Text,Windows;Windows Subsystem for Linux (WSL),Windows Subsystem for Linux (WSL),Confluence;Jira;Markdown File;Miro;Trello;YouTrack,Confluence;Jira;Markdown File;Miro;Trello,Google Meet;Skype;Slack;Zoom,Google Meet;Slack;Zoom,ChatGPT;Neeva AI,ChatGPT;Google Bard AI;Neeva AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",okay. close low-quality questions following the same pattern.,Yes,Favorable,Increase productivity,Somewhat distrust,Writing code;Documenting code;Testing code,Writing code,,,,Writing code,,,Yes,Individual contributor,20.0,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,1-2 times a week,6-10 times a week,3-5 times a week,60-120 minutes a day,30-60 minutes a day,Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,50891.0
45856,45857,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Video-based Online Courses;Stack Overflow,edX;Udemy;Coursera;Udacity,14,10,"Engineer, data",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,3900000.0,Python,Go;Python;Rust;Scala,BigQuery;Firebase Realtime Database;MongoDB;MySQL;Neo4J,BigQuery;Cassandra;Dynamodb;MongoDB;MySQL;Neo4J,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,FastAPI;Flask,FastAPI;Flask,Hugging Face Transformers;Keras;NumPy;Pandas,Apache Kafka;CUDA;Hugging Face Transformers;Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Homebrew;Pip,Docker;Homebrew;LLVM's Clang;Pip,Atom;Jupyter Notebook/JupyterLab;PyCharm;Sublime Text;Vim,Jupyter Notebook/JupyterLab;PyCharm;Sublime Text;Vim,MacOS,MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Jira,GitHub Discussions;Jira,Google Meet;Slack;Telegram;Whatsapp;Zoom,Google Meet;Slack;Telegram;Whatsapp;Zoom,,,,,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely",providing solutions to what I am looking for in minimum searches,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Collaborating with teammates ,,,,,,,,Yes,People manager,11.0,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 times a week,10+ times a week,3-5 times a week,30-60 minutes a day,60-120 minutes a day,Microservices;Automated testing;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Too long,Difficult,47256.0
45958,45959,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",Remote,Contribute to open-source projects;Professional development or self-paced learning from online courses,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Online Courses or Certification;On the job training;Coding Bootcamp,,edX,16,10,Research & Development role,20 to 99 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,2800000.0,Python,Julia,Clickhouse,,Amazon Web Services (AWS),,,,Hugging Face Transformers;Keras;NumPy;Opencv;Scikit-Learn;TensorFlow;Torch/PyTorch,Hugging Face Transformers;JAX,Pip,,condo;IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,,Other Linux-based,,Linear;Notion,,Google Meet;Slack;Zoom,Discord,ChatGPT,Bing AI,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",Definitely go for it.,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,Writing code,,,,,,Yes,Individual contributor,16.0,Strongly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,33927.0
46037,46038,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow;Interactive tutorial;Certification videos",Coursera,15,7,"Developer, back-end",100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with,India,INR	Indian rupee,2400000.0,JavaScript;Python;Ruby;Scala,JavaScript;Python;Ruby;Scala,Dynamodb;MongoDB;PostgreSQL;Redis,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,npm;Pip,npm;Pip,IntelliJ IDEA;PyCharm;RubyMine;Visual Studio Code,IntelliJ IDEA;PyCharm;RubyMine;Visual Studio Code,iOS;MacOS,iOS;MacOS,Airtable;Confluence,Airtable;Confluence,Slack;Zoom,Slack;Zoom,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,7.0,Agree,,,,,,,,,,,,,,"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,29081.0
